code,title,full
EMA309D,ASSESSMENT IN MATHEMATICS EDUCATION,EMA309D - ASSESSMENT IN MATHEMATICS EDUCATION
EIT201,LEARNING THEORIES FOR TEACHING WITH COMPUTER,EIT201 - LEARNING THEORIES FOR TEACHING WITH COMPUTER
ECD101D,DRAWING AND RENDERING 1,ECD101D - DRAWING AND RENDERING 1
INF109D,MATHEMATICS FOR COMPUTING 1,INF109D - MATHEMATICS FOR COMPUTING 1
EIT101D,FUNDAMENTALS OF OFFICE SUIT IN EDUCATION,EIT101D - FUNDAMENTALS OF OFFICE SUIT IN EDUCATION
PHY103D,GENERAL PHYSICS 1 (PRACTICAL),PHY103D - GENERAL PHYSICS 1 (PRACTICAL)
CHE109D,GENERAL CHEMISTRY (PRACTICAL),CHE109D - GENERAL CHEMISTRY (PRACTICAL)
EIT404D,MULTIMEDIA IN EDUCATION,EIT404D - MULTIMEDIA IN EDUCATION
INF413D,INFORMATION SYSTEM SECURITY AND MANAGEMENT,INF413D - INFORMATION SYSTEM SECURITY AND MANAGEMENT
INF411D,PROFESSIONAL COMPUTING,INF411D - PROFESSIONAL COMPUTING
INF405D,E-COMMERCE 1,INF405D - E-COMMERCE 1
INF403D,MOBILE AND DISTRIBUTED COMPUTING,INF403D - MOBILE AND DISTRIBUTED COMPUTING
INF401D,INTRODUCTING TO MULTIMEDIA COMPUTING,INF401D - INTRODUCTING TO MULTIMEDIA COMPUTING
INF313D,WEB TECHNOLOGY II,INF313D - WEB TECHNOLOGY II
EIT303D,ASSESSMENT IN INFORMATION TECHNOLOGY EDUCATION,EIT303D - ASSESSMENT IN INFORMATION TECHNOLOGY EDUCATION
INF315D,DISCRETE MATHEMATICS,INF315D - DISCRETE MATHEMATICS
BIO201AD,BASIC SOIL SCIENCE,BIO201AD - BASIC SOIL SCIENCE
ECO103D,PRINCIPLES OF MICROECONOMICS,ECO103D - PRINCIPLES OF MICROECONOMICS
CMS107D,COMMUNICATION SKILLS 1,CMS107D - COMMUNICATION SKILLS 1
EDF102D,SOCIAL AND PHILOSOPHICAL FOUNDATIONS OF EDUCATION,EDF102D - SOCIAL AND PHILOSOPHICAL FOUNDATIONS OF EDUCATION
ILT101D,INFORMATION LITERACY,ILT101D - INFORMATION LITERACY
ASP101D,AFRICAN STUDIES,ASP101D - AFRICAN STUDIES
ECD105D,LETTERING AND TYPOGRAPHY,ECD105D - LETTERING AND TYPOGRAPHY
EGA103D,BASIC DESIGN AND COLOUR PSYCHOLOGY,EGA103D - BASIC DESIGN AND COLOUR PSYCHOLOGY
INF107D,SOFTWARE SUITE,INF107D - SOFTWARE SUITE
INF101D,INTRODUCTION TO COMPUTING,INF101D - INTRODUCTION TO COMPUTING
ECO101D,PRINCIPLES OF MICROECONOMICS,ECO101D - PRINCIPLES OF MICROECONOMICS
INF105D,INTRODUCTION TO MANAGEMENT,INF105D - INTRODUCTION TO MANAGEMENT
MAT101D,ALGEBRA AND TRIGONOMETRY,MAT101D - ALGEBRA AND TRIGONOMETRY
